distribution,format,bpw,mse,cosine,snr
Gaussian,OIL1,1.00,3.89102334e-04,0.17234563,0.1310
Gaussian,OIL2,2.00,4.62383470e-05,0.94058297,9.3816
Gaussian,OIL4,4.00,4.01432286e-06,0.99499339,19.9955
Gaussian,OIL8,8.00,1.50783762e-06,0.99813019,24.2480
Gaussian,OIL16,16.00,7.28094505e-11,0.99999997,67.4097
Gaussian,OIL32,32.00,0.00000000e+00,1.00000000,999.0000
Gaussian,OIL1_GRP,1.00,2.46917160e-03,0.77558058,-7.8939
Gaussian,OIL2_GRP,2.00,6.57897730e-05,0.91604840,7.8500
Gaussian,OIL4_GRP,4.00,6.93213662e-06,0.99148712,17.6229
Gaussian,OIL8_GRP,8.00,3.75416073e-06,0.99544392,20.2865
Gaussian,OIL16_GRP,16.00,4.00738276e-04,0.02620485,0.0030
Gaussian,SPARK_SPARSE,2.00,2.26005604e-04,0.66063528,2.4904
Gaussian,SPARK_SPARSE_GRP,2.00,1.01995304e-07,0.99993017,35.9458
Gaussian,SPARK_Q0,1.50,4.92323920e-05,0.93889303,9.1091
Gaussian,SPARK_Q0_GRP,1.50,3.02127690e-01,0.90206210,-28.7703
Gaussian,GGUF_Q4_K_M,4.50,2.42891157e-06,0.99699626,22.1775
Gaussian,GPTQ_4bit,4.00,1.69921729e-06,0.99788782,23.7291
Gaussian,OIL4_CW,4.00,1.55757634e-06,0.99805647,24.1071
Gaussian,OIL_MIX@2bpw,2.00,7.82119404e-08,0.99994583,37.0989
Gaussian,OIL_MIX@3bpw,3.00,2.51163377e-06,0.99687369,22.0320
Gaussian,OIL_MIX@4bpw,4.00,5.07031780e-06,0.99365801,18.9812
