distribution,format,bpw,mse,cosine,snr
Sparse_90,OIL1,1.00,1.01925421e-01,0.18708870,0.1547
Sparse_90,OIL2,2.00,1.40360307e-02,0.93118866,8.7651
Sparse_90,OIL4,4.00,1.81361848e-03,0.99137862,17.6521
Sparse_90,OIL8,8.00,1.15046982e-03,0.99455003,19.6288
Sparse_90,OIL16,16.00,1.84818652e-08,0.99999998,67.5701
Sparse_90,OIL32,32.00,0.00000000e+00,1.00000000,999.0000
Sparse_90,OIL1_GRP,1.00,5.01903304e+00,0.26767405,-16.7686
Sparse_90,OIL2_GRP,2.00,8.73816430e-02,0.61932359,0.8234
Sparse_90,OIL4_GRP,4.00,9.62745793e-03,0.95423501,10.4024
Sparse_90,OIL8_GRP,8.00,7.58783255e-03,0.96541123,11.4364
Sparse_90,OIL16_GRP,16.00,7.58783255e-03,0.96541123,11.4364
Sparse_90,SPARK_SPARSE,2.00,4.27602707e-05,0.99988929,33.9272
Sparse_90,SPARK_SPARSE_GRP,2.00,1.75847767e-05,0.99995163,37.7862
Sparse_90,SPARK_Q0,1.50,1.27258615e-01,0.60727768,-0.8093
Sparse_90,SPARK_Q0_GRP,1.50,9.44050693e-02,0.56365637,0.4876
Sparse_90,GGUF_Q4_K_M,4.50,1.30310783e-03,0.99389756,19.0878
Sparse_90,GPTQ_4bit,4.00,4.93270408e-04,0.99767522,23.3067
Sparse_90,OIL_MIX@2bpw,2.00,1.19453755e-05,0.99996397,39.4656
Sparse_90,OIL_MIX@3bpw,3.00,2.45988259e-03,0.98828921,16.3284
Sparse_90,OIL_MIX@4bpw,4.00,4.20569377e-03,0.97988867,13.9992
Sparse_95,OIL1,1.00,5.27288207e-02,0.17852430,0.1407
Sparse_95,OIL2,2.00,7.83851204e-03,0.92524650,8.4188
Sparse_95,OIL4,4.00,9.57319234e-04,0.99118654,17.5506
Sparse_95,OIL8,8.00,7.03737386e-04,0.99353263,18.8870
Sparse_95,OIL16,16.00,9.28907262e-09,0.99999998,67.6814
Sparse_95,OIL32,32.00,0.00000000e+00,1.00000000,999.0000
Sparse_95,OIL1_GRP,1.00,4.72144021e+00,0.18825456,-19.3796
Sparse_95,OIL2_GRP,2.00,7.52825235e-02,0.49173784,-1.4058
Sparse_95,OIL4_GRP,4.00,7.09546258e-03,0.93259106,8.8513
Sparse_95,OIL8_GRP,8.00,5.18054050e-03,0.95201665,10.2174
Sparse_95,OIL16_GRP,16.00,5.18054050e-03,0.95201665,10.2174
Sparse_95,SPARK_SPARSE,2.00,2.04068740e-05,0.99990001,34.2634
Sparse_95,SPARK_SPARSE_GRP,2.00,7.82468942e-06,0.99995941,38.4265
Sparse_95,SPARK_Q0,1.50,9.24557109e-02,0.52800527,-2.2982
Sparse_95,SPARK_Q0_GRP,1.50,7.94293403e-02,0.44991348,-1.6387
Sparse_95,GGUF_Q4_K_M,4.50,4.96774381e-04,0.99546992,20.3996
Sparse_95,GPTQ_4bit,4.00,1.65535373e-04,0.99848526,25.1722
Sparse_95,OIL_MIX@2bpw,2.00,4.73576105e-06,0.99997058,40.6073
Sparse_95,OIL_MIX@3bpw,3.00,2.00951215e-03,0.98138020,14.3302
Sparse_95,OIL_MIX@4bpw,4.00,2.90553705e-03,0.97296084,12.7289
Sparse_99,OIL1,1.00,7.76541210e-03,0.18140849,0.1453
Sparse_99,OIL2,2.00,9.56031819e-04,0.93858270,9.2422
Sparse_99,OIL4,4.00,1.58769964e-04,0.99006417,17.0393
Sparse_99,OIL8,8.00,1.31206191e-04,0.99179625,17.8674
Sparse_99,OIL16,16.00,1.16080193e-09,0.99999998,68.3994
Sparse_99,OIL32,32.00,0.00000000e+00,1.00000000,999.0000
