dataset,format,bpw,mse,psnr,encode_us,decode_us,encode_std,decode_std
gaussian,Q32,32,0,100,8.9,7.8,3.04506,3.25445
gaussian,Q_QUAD_MIX@24.5_GRP,24.75,1.35094e-07,61.4882,7079,4751.2,146.818,160.727
gaussian,Q_QUAD_MIX@24.5,24.5,1.35094e-07,61.4882,7013,4785.8,96.479,136.216
gaussian,Q24_GRP,24.5,1.376e-06,51.4084,18095.2,6416,114.211,96.3382
gaussian,Q24,24,1.67604e-12,110.552,50.4,58.8,0.161835,0.234013
gaussian,Q_QUAD_MIX@16.5_GRP,16.75,1.47607e-06,51.1035,5545.8,3875.3,115.759,29.4984
gaussian,Q_QUAD_MIX@16.5,16.5,5.64349e-07,55.2791,5839.9,3663.3,151.652,87.6549
gaussian,Q16_GRP,16.5,1.23169e-06,51.8896,12812,4367.3,186.553,84.0378
gaussian,Q16,16,1.08272e-11,102.449,3233.6,3414.4,74.4177,83.3281
gaussian,[ref] IEEE FP16,16,4.29045e-10,86.4696,204.9,204.9,0,0
gaussian,Q_QUAD_MIX@12.5_GRP,12.75,3.11231e-06,47.8638,6292.1,2932.1,78.4175,72.7117
gaussian,Q12_GRP,12.5,1.0569e-06,52.5542,12024.7,3331.1,1081.09,54.8881
gaussian,Q_QUAD_MIX@12.5,12.5,3.44842e-06,47.4184,5509.7,2806.6,120.233,135.867
gaussian,Q12,12,3.60769e-07,57.2223,11959.5,2992.9,100.818,30.7251
gaussian,Q_QUAD_MIX@8.5_GRP,8.75,4.23223e-05,36.5289,9947.5,2049.6,195.005,164.3
gaussian,[ref] GGUF Q8_0,8.5,2.9199e-07,58.1409,257.3,257.3,0,0
gaussian,Q8_GRP,8.5,1.80436e-06,50.2314,11188.6,2279.9,129.871,48.9406
gaussian,Q_QUAD_MIX@8.5,8.5,4.16753e-05,36.5958,6559.3,2055.4,219.887,88.4809
gaussian,[ref] INT8 uniform,8.125,4.09961e-07,56.6672,240.6,240.6,0,0
gaussian,Q8,8,6.50904e-07,54.6594,3237.6,1838.5,15.7789,13.7488
gaussian,Q_QUAD_MIX@6.5_GRP,6.75,8.06361e-05,33.7293,9871.6,1567.6,182.573,42.7365
gaussian,Q6_GRP,6.5625,3.46166e-06,47.4017,3990.6,1069.8,99.7651,14.9893
gaussian,[ref] GGUF Q6_K,6.5625,4.92534e-06,45.8702,330.7,330.7,0,0
gaussian,Q_QUAD_MIX@6.5,6.5,7.91545e-05,33.8098,6197.3,1580.8,185.516,103.822
gaussian,Q6,6,1.10891e-05,42.3456,6350,1607.7,38.6589,45.2947
gaussian,Q_QUAD_MIX@4.5_GRP,4.75,0.00294365,18.1057,5083.4,1306.2,230.024,175.734
gaussian,Q4_GRP,4.5,6.22846e-05,34.8508,8509.7,1058.9,752.458,33.2096
gaussian,Q_QUAD_MIX@4.5,4.5,0.000386208,26.9264,5026.8,1324.9,359.126,110.759
gaussian,Q4,4,0.000132562,31.5704,6893,898.9,613.562,10.129
gaussian,Q_QUAD_MIX@3.5_GRP,3.75,0.00247546,18.858,3612.3,918.1,167.648,30.1613
gaussian,Q_QUAD_MIX@3.5,3.5,0.00203342,19.7123,3702.5,906.7,96.3804,181.217
gaussian,Q3_GRP,3.5,0.0104644,12.5974,9716.2,368,947.199,131.113
gaussian,Q3,3,0.000632182,24.7862,3260.8,645.9,80.1102,37.2536
gaussian,Q_TWI_MIX@2.5_GRP,2.75,0.00216891,19.4322,2223.5,604.4,150.114,57.8654
gaussian,Q2_GRP,2.625,0.000777321,23.8886,11604,661.4,322.725,46.2311
gaussian,Q_TWI_MIX@2.5,2.5,0.00124409,21.8461,1845.8,357.4,248.629,11.7
gaussian,Q2,2,0.00212221,19.5267,1739.2,454.5,37.9655,11.976
gaussian,Q_TWI_MIX@1.5_GRP,1.75,0.00329698,17.6134,601.9,464.2,17.3263,36.5037
gaussian,[ref] BitNet b1.58,1.58,0.00439795,16.3621,312.5,312.5,0,0
gaussian,Q_TWI_MIX@1.5,1.5,0.00394317,16.8361,435.8,308.5,24.9539,11.6024
gaussian,Q1_GRP,1,0.00440452,16.3556,370.2,288.5,4.63681,13.0281
gaussian,Q1,1,0.00440452,16.3556,379.1,283,3.07826,2.45958
gaussian,[ref] Binary 1-bit,1,0.0294746,8.10012,28.6,28.6,0,0
real,Q32,32,0,100,7.5,5.8,4.30105,1.44799
real,Q_QUAD_MIX@24.5_GRP,24.75,9.65502e-07,60.1525,5746.4,3940.8,189.991,171.808
real,Q_QUAD_MIX@24.5,24.5,9.65502e-07,60.1525,5856.2,3898.8,460.996,94.5607
real,Q24_GRP,24.5,2.76851e-06,55.5775,14215.6,5219.6,110.707,100.454
real,Q24,24,9.0193e-12,110.448,42.9,47,3.09346,2.80858
real,Q_QUAD_MIX@16.5_GRP,16.75,1.11831e-05,49.5144,4466.1,2959.3,135.541,158.686
real,Q16_GRP,16.5,2.51242e-06,55.9991,10421.7,3494.7,285.747,195.531
real,Q_QUAD_MIX@16.5,16.5,4.22998e-06,53.7366,4712.3,2938.2,39.23,267.282
real,Q16,16,3.54585e-11,104.503,2562.8,2745.9,24.0675,27.3351
real,[ref] IEEE FP16,16,2.35296e-09,86.2838,125.7,125.7,0,0
